"CowTagID","Day_Night","Tide","Phosphate_umolL","Silicate_umolL","Nitrite_umolL","Ammonia_umolL","Season","lat","lng","N_ug","del15N","C_ug","del13C","N_percent","C_percent","C_N"
"VSEEP","Night","Mid",0.383899929,13.57040172,1.167942082,0.968492842,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"VSEEP","Day","Low",2.347925434,401.7660016,14.47512447,1.516705395,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"V1","Day","Low",0.157620727,1.323530762,0.499259483,0.828499422,"March",-17.53975298,-149.900506,23.4,3.6,759.5,-9.9,0.962962963,31.25514403,32.45726496
"V2","Day","Low",0.157527914,1.782810054,0.342611639,0.583375924,"March",-17.53989003,-149.900519,28.9,3.8,898.9,-9.8,1.005882148,31.28676343,31.10380623
"V3","Day","Low",0.155996492,3.033281857,0.287992195,0.411099409,"March",-17.54012598,-149.90056,27.5,3.7,1010.7,-9.9,0.924214418,33.96740044,36.75272727
"V4","Day","Low",0.135763159,1.174706274,0.198672279,0.408759185,"March",-17.54024902,-149.900454,27.9,3.3,803.2,-11.9,1.189258312,34.23699915,28.78853047
"V5","Day","Low",0.142770574,1.111715444,0.183710517,0.421300387,"March",-17.54025003,-149.900336,37.8,3.3,825.9,-16.4,1.35863705,29.68514126,21.84920635
"V6","Day","Low",0.18040643,3.862199646,0.534681004,0.298948658,"March",-17.54002498,-149.900106,30.6,3.9,1001.7,-9.6,0.964812713,31.58342792,32.73529412
"V7","Day","Low",0.166391599,5.850910131,0.479520773,0.224841554,"March",-17.54004803,-149.899985,19.2,3.5,736.1,-9.2,0.839491059,32.18486293,38.33854167
"V8","Day","Low",0.158502455,2.253510761,0.264828503,0.342932874,"March",-17.54014903,-149.899896,24.7,3.7,900.5,-9.6,0.829137294,30.22826452,36.45748988
"V9","Day","Low",0.145879825,1.136980996,0.218591251,0.264385345,"March",-17.540245,-149.899765,24.8,3.3,762.4,-10.1,1.006289308,30.93528099,30.74193548
"V10","Day","Low",0.142028067,1.068798615,0.148829783,0.280526892,"March",-17.54030501,-149.899788,23.4,3.2,831.9,-11.1,0.963518076,34.25430289,35.55128205
"V11","Day","Low",0.152887241,1.067414201,0.540719787,0.294148198,"March",-17.54019303,-149.900068,28.4,4,853.4,-10.4,1.076450745,32.34658682,30.04929577
"V12","Day","Low",0.140682272,1.077105098,0.156400795,0.216320737,"March",-17.54030996,-149.900112,34.7,6.1,1090.9,-10.4,1.069535199,33.62409074,31.43804035
"V13","Day","Low",0.148014535,1.359525522,0.288713243,1.689881996,"March",-17.540749,-149.899133,22.1,3.4,963.3,-9.5,0.753109559,32.82671665,43.58823529
"V14","Day","Low",0.150984565,2.995210477,0.174607276,0.236122635,"March",-17.54039696,-149.899396,23.3,4.4,739,-10.2,1.081005846,34.2859794,31.7167382
"V15","Day","Low",0.154511476,1.619795324,0.235175373,0.180377291,"March",-17.54014299,-149.900183,23.8,6.7,740.3,-10.6,1.011904762,31.47534014,31.10504202
"V16","Day","Low",0.149545957,1.469932526,0.087811031,0.387457142,"March",-17.54029797,-149.900492,23,3.4,746,-9.6,1.001960357,32.49836637,32.43478261
"V17","Day","Low",0.141331966,2.499244218,0.212372205,0.229522002,"March",-17.54031901,-149.899572,20.4,3.9,764,-9.9,0.822547478,30.80520947,37.45098039
"V18","Day","Low",0.14680796,1.228006207,0.163340889,0.20497965,"March",-17.54019697,-149.899906,27.1,4.1,962,-9.4,0.866922585,30.77415227,35.49815498
"V19","Day","Low",0.128245269,1.185435481,0.102682662,0.950458716,"March",-17.54050802,-149.89978,20.1,3.1,811.5,-9.8,0.85126207,34.36811791,40.37313433
"V20","Day","Low",0.148710635,1.495544182,0.193354544,0.198319011,"March",-17.54045103,-149.899509,19.4,3.6,696.2,-10.8,0.825848197,29.63688221,35.88659794
"VSEEP","Day","Mid",0.267007267,12.01880453,1.06687617,0.41918427,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"VSEEP","Day","High",0.16495299,4.051172135,0.353787894,0.244163406,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"V1","Day","High",0.143281048,1.232851655,0.154868566,0.230482094,"March",-17.53975298,-149.900506,23.4,3.6,759.5,-9.9,0.962962963,31.25514403,32.45726496
"V2","Day","High",0.147550467,1.036264889,0.342431376,0.226041669,"March",-17.53989003,-149.900519,28.9,3.8,898.9,-9.8,1.005882148,31.28676343,31.10380623
"V3","Day","High",0.112838235,0.940740334,0.17487767,0.223401416,"March",-17.54012598,-149.90056,27.5,3.7,1010.7,-9.9,0.924214418,33.96740044,36.75272727
"V4","Day","High",0.128152455,0.853522262,0.184071041,0.328291471,"March",-17.54024902,-149.900454,27.9,3.3,803.2,-11.9,1.189258312,34.23699915,28.78853047
"V5","Day","High",0.116086706,0.891247539,0.255725262,0.252924246,"March",-17.54025003,-149.900336,37.8,3.3,825.9,-16.4,1.35863705,29.68514126,21.84920635
"V6","Day","High",0.141610406,1.678632912,0.134498939,0.237622779,"March",-17.54002498,-149.900106,30.6,3.9,1001.7,-9.6,0.964812713,31.58342792,32.73529412
"V7","Day","High",0.148432195,2.091534341,0.168388231,0.179777234,"March",-17.54004803,-149.899985,19.2,3.5,736.1,-9.2,0.839491059,32.18486293,38.33854167
"V8","Day","High",0.145415758,1.411441041,0.256085787,0.170716365,"March",-17.54014903,-149.899896,24.7,3.7,900.5,-9.6,0.829137294,30.22826452,36.45748988
"V9","Day","High",0.131586553,1.126597893,0.163160627,0.167896095,"March",-17.540245,-149.899765,24.8,3.3,762.4,-10.1,1.006289308,30.93528099,30.74193548
"V10","Day","High",0.132885942,1.241850345,0.073660449,0.334172034,"March",-17.54030501,-149.899788,23.4,3.2,831.9,-11.1,0.963518076,34.25430289,35.55128205
"V11","Day","High",0.130612012,0.977081198,0.122511503,0.161655497,"March",-17.54019303,-149.900068,28.4,4,853.4,-10.4,1.076450745,32.34658682,30.04929577
"V12","Day","High",0.131215299,0.909244919,0.111785903,0.236962716,"March",-17.54030996,-149.900112,34.7,6.1,1090.9,-10.4,1.069535199,33.62409074,31.43804035
"V13","Day","High",0.134742211,1.410056627,0.198672279,0.300688825,"March",-17.540749,-149.899133,22.1,3.4,963.3,-9.5,0.753109559,32.82671665,43.58823529
"V14","Day","High",0.143002608,3.126037585,0.181276977,0.236602681,"March",-17.54039696,-149.899396,23.3,4.4,739,-10.2,1.081005846,34.2859794,31.7167382
"V15","Day","High",0.148246568,1.035918786,0.1682981,0.194538649,"March",-17.54014299,-149.900183,23.8,6.7,740.3,-10.6,1.011904762,31.47534014,31.10504202
"V16","Day","High",0.127456354,0.828602813,0.130262777,0.235582583,"March",-17.54029797,-149.900492,23,3.4,746,-9.6,1.001960357,32.49836637,32.43478261
"V17","Day","High",0.152980054,2.562235048,0.173705965,0.187577982,"March",-17.54031901,-149.899572,20.4,3.9,764,-9.9,0.822547478,30.80520947,37.45098039
"V18","Day","High",0.141192746,1.294111968,0.110343805,0.164055727,"March",-17.54019697,-149.899906,27.1,4.1,962,-9.4,0.866922585,30.77415227,35.49815498
"V19","Day","High",0.11887111,0.898861816,0.067080879,0.155294887,"March",-17.54050802,-149.89978,20.1,3.1,811.5,-9.8,0.85126207,34.36811791,40.37313433
"V20","Day","High",0.147596874,1.364024867,0.122511503,0.15511487,"March",-17.54045103,-149.899509,19.4,3.6,696.2,-10.8,0.825848197,29.63688221,35.88659794
"VSEEP","Day","Mid",0.756406727,30.180599,1.89989671,0.208039943,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"VSEEP","Night","Low",2.3580421,447.2495465,18.53571555,0.220581145,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"V1","Night","Low",0.187228219,4.940658029,0.758656776,0.673084523,"March",-17.53975298,-149.900506,23.4,3.6,759.5,-9.9,0.962962963,31.25514403,32.45726496
"V2","Night","Low",0.171589152,3.700915433,0.620575938,0.256344574,"March",-17.53989003,-149.900519,28.9,3.8,898.9,-9.8,1.005882148,31.28676343,31.10380623
"V3","Night","Low",0.165463464,1.382714454,0.458430097,0.466304701,"March",-17.54012598,-149.90056,27.5,3.7,1010.7,-9.9,0.924214418,33.96740044,36.75272727
"V4","Night","Low",0.143373862,0.99334806,0.252300281,0.237262744,"March",-17.54024902,-149.900454,27.9,3.3,803.2,-11.9,1.189258312,34.23699915,28.78853047
"V5","Night","Low",0.162771874,2.390567731,0.3723549,0.470025058,"March",-17.54025003,-149.900336,37.8,3.3,825.9,-16.4,1.35863705,29.68514126,21.84920635
"V6","Night","Low",0.17033617,4.688002503,0.424090149,0.263965304,"March",-17.54002498,-149.900106,30.6,3.9,1001.7,-9.6,0.964812713,31.58342792,32.73529412
"V7","Night","Low",0.167690987,3.509866323,0.379385126,0.239062917,"March",-17.54004803,-149.899985,19.2,3.5,736.1,-9.2,0.839491059,32.18486293,38.33854167
"V8","Night","Low",0.171403525,3.702299847,0.406694848,0.237502768,"March",-17.54014903,-149.899896,24.7,3.7,900.5,-9.6,0.829137294,30.22826452,36.45748988
"V9","Night","Low",0.148617822,1.543652563,0.244549007,0.224481519,"March",-17.540245,-149.899765,24.8,3.3,762.4,-10.1,1.006289308,30.93528099,30.74193548
"V10","Night","Low",0.15502195,0.987118198,0.185062483,0.215540662,"March",-17.54030501,-149.899788,23.4,3.2,831.9,-11.1,0.963518076,34.25430289,35.55128205
"V11","Night","Low",0.173538235,3.202180346,0.411652058,0.240503055,"March",-17.54019303,-149.900068,28.4,4,853.4,-10.4,1.076450745,32.34658682,30.04929577
"V12","Night","Low",0.148385788,0.940740334,0.25716736,0.203179477,"March",-17.54030996,-149.900112,34.7,6.1,1090.9,-10.4,1.069535199,33.62409074,31.43804035
"V13","Night","Low",0.157527914,1.252579552,0.34603662,0.242303228,"March",-17.540749,-149.899133,22.1,3.4,963.3,-9.5,0.753109559,32.82671665,43.58823529
"V14","Night","Low",0.156135712,3.467295597,0.279610003,0.272426115,"March",-17.54039696,-149.899396,23.3,4.4,739,-10.2,1.081005846,34.2859794,31.7167382
"V15","Night","Low",0.179246262,4.175077174,0.529273138,0.242183216,"March",-17.54014299,-149.900183,23.8,6.7,740.3,-10.6,1.011904762,31.47534014,31.10504202
"V16","Night","Low",0.164999397,1.081950546,0.156671188,0.178217084,"March",-17.54029797,-149.900492,23,3.4,746,-9.6,1.001960357,32.49836637,32.43478261
"V17","Night","Low",0.149221109,2.725595881,0.344684654,0.248183791,"March",-17.54031901,-149.899572,20.4,3.9,764,-9.9,0.822547478,30.80520947,37.45098039
"V18","Night","Low",0.201475084,7.738904509,0.669156598,4.25986836,"March",-17.54019697,-149.899906,27.1,4.1,962,-9.4,0.866922585,30.77415227,35.49815498
"V19","Night","Low",0.187056048,0.739466183,0.37666396,0.179777417,"March",-17.54050802,-149.89978,20.1,3.1,811.5,-9.8,0.85126207,34.36811791,40.37313433
"V20","Night","Low",0.154279443,1.427015697,0.28925403,0.465584632,"March",-17.54045103,-149.899509,19.4,3.6,696.2,-10.8,0.825848197,29.63688221,35.88659794
"VSEEP","Night","Mid",1.685608624,319.4189341,12.43864977,0.331291758,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"VSEEP","Night","Mid",0.344222177,23.99296133,1.503680413,0.302128963,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"VSEEP","Night","High",0.214376154,3.096964894,1.25825344,1.27110185,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"V1","Night","High",0.173399014,1.280613933,0.333959053,0.298588623,"March",-17.53975298,-149.900506,23.4,3.6,759.5,-9.9,0.962962963,31.25514403,32.45726496
"V2","Night","High",0.174559182,1.1272901,0.232831964,0.163935715,"March",-17.53989003,-149.900519,28.9,3.8,898.9,-9.8,1.005882148,31.28676343,31.10380623
"V3","Night","High",0.164024855,0.950777335,0.192002578,0.66846408,"March",-17.54012598,-149.90056,27.5,3.7,1010.7,-9.9,0.924214418,33.96740044,36.75272727
"V4","Night","High",0.163003907,0.889170919,0.184431566,0.132552707,"March",-17.54024902,-149.900454,27.9,3.3,803.2,-11.9,1.189258312,34.23699915,28.78853047
"V5","Night","High",0.161890146,0.925165679,0.135219987,0.147074099,"March",-17.54025003,-149.900336,37.8,3.3,825.9,-16.4,1.35863705,29.68514126,21.84920635
"V6","Night","High",0.165834718,1.491044837,0.175148063,0.125652045,"March",-17.54002498,-149.900106,30.6,3.9,1001.7,-9.6,0.964812713,31.58342792,32.73529412
"V7","Night","High",0.17558013,1.628447911,0.203178834,0.162075537,"March",-17.54004803,-149.899985,19.2,3.5,736.1,-9.2,0.839491059,32.18486293,38.33854167
"V8","Night","High",0.166345192,1.306225589,0.169830328,0.13123258,"March",-17.54014903,-149.899896,24.7,3.7,900.5,-9.6,0.829137294,30.22826452,36.45748988
"V9","Night","High",0.158827302,1.031073338,0.105927381,0.163515675,"March",-17.540245,-149.899765,24.8,3.3,762.4,-10.1,1.006289308,30.93528099,30.74193548
"V10","Night","High",0.145601385,1.004769475,0.101060302,0.129792442,"March",-17.54030501,-149.899788,23.4,3.2,831.9,-11.1,0.963518076,34.25430289,35.55128205
"V11","Night","High",0.163467975,1.000616233,0.174607276,0.092888905,"March",-17.54019303,-149.900068,28.4,4,853.4,-10.4,1.076450745,32.34658682,30.04929577
"V12","Night","High",0.163143128,0.926550092,0.122962158,0.125171999,"March",-17.54030996,-149.900112,34.7,6.1,1090.9,-10.4,1.069535199,33.62409074,31.43804035
"V13","Night","High",0.164488923,1.170206929,0.125666091,0.132612713,"March",-17.540749,-149.899133,22.1,3.4,963.3,-9.5,0.753109559,32.82671665,43.58823529
"V14","Night","High",0.163235941,2.041695443,0.180736191,0.223881462,"March",-17.54039696,-149.899396,23.3,4.4,739,-10.2,1.081005846,34.2859794,31.7167382
"V15","Night","High",0.167134106,0.984003267,0.280331052,1.451119107,"March",-17.54014299,-149.900183,23.8,6.7,740.3,-10.6,1.011904762,31.47534014,31.10504202
"V16","Night","High",0.152701614,0.900592333,0.128910811,0.302008951,"March",-17.54029797,-149.900492,23,3.4,746,-9.6,1.001960357,32.49836637,32.43478261
"V17","Night","High",0.142213694,1.565803184,0.156130402,17.11922004,"March",-17.54031901,-149.899572,20.4,3.9,764,-9.9,0.822547478,30.80520947,37.45098039
"V18","Night","High",0.190514382,0.858814892,0.468645175,0.340527946,"March",-17.54019697,-149.899906,27.1,4.1,962,-9.4,0.866922585,30.77415227,35.49815498
"V19","Night","High",0.153954596,0.897477402,0.087270245,0.205279679,"March",-17.54050802,-149.89978,20.1,3.1,811.5,-9.8,0.85126207,34.36811791,40.37313433
"V20","Night","High",0.166438005,1.164669273,0.119176652,0.203599517,"March",-17.54045103,-149.899509,19.4,3.6,696.2,-10.8,0.825848197,29.63688221,35.88659794
"VSPRING","Day",NA,2.599125048,713.0571823,32.63479397,1.596933085,"March",-17.540302,-149.899331,NA,NA,NA,NA,NA,NA,NA
"VRC","Night","Mid",0.163143128,3.38353856,0.463307649,0.288927697,"March",-17.54606,-149.90274,19,5.9,814.2,-10.2,0.751077203,32.18563466,42.85263158
